Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
AFCHF01020,Leuroglossus schmidti,Northern Smoothtongue,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHF01010,Leuroglossus stilbius,California Smoothtongue,,SNR,Not Reviewed,GNR,,,,,,
AFCTB16020,Limanda aspera,Yellowfin Sole,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07020,Liparis callyodon,Spotted Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07040,Liparis cyclopus,Ribbon Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07060,Liparis dennyi,Marbled Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07070,Liparis florae,Tidepool Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07080,Liparis fucensis,Slipskin Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07050,Liparis gibbus,Varigated Snailfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4G07180,Liparis greeni,Lobefin Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07130,Liparis mucosus,Slimy Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07140,Liparis pulchellus,Showy Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G07150,Liparis rutteri,Ringtail Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G20010,Lipariscus nanus,Pygmy Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCHF03010,Lipolagus ochotensis,Popeye Blacksmelt,,SNR,Not Reviewed,GNR,,,,,,
AFCMA01010,Lota lota,Burbot,,S4S5 (2019),Yellow,G5 (2015),,,,,,
AFCMA01011,Lota lota pop. 1,Burbot (Lower Kootenay Population),ICH,S1 (2019),Red,G5T1Q (2001),,,,,,
AFCSC11010,Lumpenella longirostris,Longsnout Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFCSC12050,Lumpenus sagitta,Snake Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFCSN01010,Luvarus imperialis,Louvar,,SNR,Not Reviewed,GNR,,,,,,
AFCMG04040,Lycenchelys camchatica,Kamchatka Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG04020,Lycenchelys crotalinus,Snakehead Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG04030,Lycenchelys jordani,Shortjaw Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG04050,Lycenchelys micropora,Manytoothed Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05060,Lycodapus dermatinus,Looseskin Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05040,Lycodapus endemoscotus,Deepwater Slipskin,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05010,Lycodapus fierasfer,Blackmouth Slipskin,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05020,Lycodapus mandibularis,Pallid Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05050,Lycodapus pachysoma,Stout Slipskin,,SNR,Not Reviewed,GNR,,,,,,
AFCMG05030,Lycodapus parviceps,Smallhead Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCS805040,Lycodapus psarostomatus,Specklemouth Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCS806010,Lycodes brevipes,Shortfin Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCS806160,Lycodes cortezianus,Bigfin Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCS806020,Lycodes diapterus,Black Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG07010,Lycodes pacificus,Blackbelly Eelpout,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS806050,Lycodes palearis,Wattled Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCTB04020,Lyopsetta exilis,Slender Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHG01010,Macropinna microstoma,Barreleye,,SNR,Not Reviewed,GNR,,,,,,
AFC8D01010,Magnisudis atlantica,Duckbill Barracudina,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4E36010,Malacocottus kincaidi,Blackfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E36020,Malacocottus zonurus,Darkfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCHB06010,Mallotus villosus,Capelin,,SNR,Not Reviewed,G5 (2008),,,,,,
AFCJB54020,Margariscus nachtriebi,Pearl Dace,,S4 (2019),Yellow,G5 (2017),,,,,Y,
AFCHK02010,Maulisia argipalla,Pitted Tubeshoulder,,SNR,Not Reviewed,GNR,,,,,,
AFCRN04010,Medialuna californiensis,Halfmoon,,SNR,Not Reviewed,GNR,,,,,,
AFC9C01010,Melamphaes lugubris,Highsnout Ridgehead,,SNR,Not Reviewed,GNR,,,,,,
AFCMJ01010,Melanonus zugmayeri,Arrowtail,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS811020,Melanostigma pammelas,Pacific Soft Pout,,SNR,Not Reviewed,GNR,,,,,,
AFCMA10020,Merluccius productus,Pacific Hake,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCMA02020,Microgadus proximus,Pacific Tomcod,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCQB12020,Micropterus dolomieu,Smallmouth Bass,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCQB12050,Micropterus salmoides,Largemouth Bass,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCTB14010,Microstomus pacificus,Dover Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCJD01010,Misgurnus anguillicaudatus,Oriental Weatherfish,,SNA (2019),Exotic,G5 (1996),,,,,,
AFC3F01020,Mola mola,Ocean Sunfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC3F01030,Mola tecta,Hoodwinker Sunfish,,SNR,Not Reviewed,GNR,,,,,,
AFCJB24010,Mylocheilus caurinus,Peamouth,,S5 (2019),Yellow,G5 (2016),,,,,,
AFC4E04070,Myoxocephalus polyacanthocephalus,Great Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E04100,Myoxocephalus scorpius,Shorthorn Sculpin,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVH04010,Nannobrachium regale,Pinpoint Lanternfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVH13010,Nannobrachium ritteri,Broadfin Lanternfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHJ01010,Nansenia candida,Bluethroat Argentine,,SNR,Not Reviewed,GNR,,,,,,
AFCQZ07010,Naucrates ductor,Pilotfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E05010,Nautichthys oculofasciatus,Sailfin Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E05030,Nautichthys robustus,Shortmast Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4G14010,Nectoliparis pelagicus,Tadpole Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCEJ01010,Nemichthys scolopaceus,Slender Snipe Eel,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCVJ01010,Neoscopelus macrolepidotus,Glowingfish,,SNR,Not Reviewed,GNR,,,,,,
AFCMC02030,Nezumia stelgidolepis,California Grenadier,,SNR,Not Reviewed,GNR,,,,,,
AFCUA01010,Notacanthus chemnitzii,Largescale Tapirfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFDBB02010,Notorynchus cepedianus,Broadnose Sevengill Shark,,SNR,Not Reviewed,GNR,,,,,,
AFCVH05040,Notoscopelus japonicus,Spiny Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFCJB28120,Notropis atherinoides,Emerald Shiner,,SU (2019),Unknown,G5 (2015),,,,,Y,
AFCJB28550,Notropis hudsonius,Spottail Shiner,BWBS,S1S2 (2019),Red,G5 (2015),,,,,Y,
AFC4F10010,Odontopyxis trispinosa,Pygmy Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4E06010,Oligocottus maculosus,Tidepool Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E06020,Oligocottus rimensis,Saddleback Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E06040,Oligocottus snyderi,Fluffy Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCHA02080,Oncorhynchus clarkii,Cutthroat Trout,,S4 (2000),No Status,G5 (2017),,,,,,
AFCHA0208A,Oncorhynchus clarkii clarkii,"Cutthroat Trout, clarkii subspecies",BWBS; CDF; CWH; ICH; SBS,S3S4 (2004),Blue,G5T4 (1997),,,,,,
AFCHA02088,Oncorhynchus clarkii lewisi,"Cutthroat Trout, lewisi subspecies",BWBS; ESSF; ICH; IDF; MS; SBS,S2S3 (2018),Blue,G5T4 (2013),SC,1-SC (2010),Y,,,
AFCHA02010,Oncorhynchus gorbuscha,Pink Salmon,,SNR (2019),Not Reviewed,G5 (2016),,,,,,
AFCHA02020,Oncorhynchus keta,Chum Salmon,,SNR (2019),Not Reviewed,G5 (2016),,,,,,
AFCHA02030,Oncorhynchus kisutch,Coho Salmon,,SNR (2019),Not Reviewed,G5 (2017),,,,,,
AFCHA02037,Oncorhynchus kisutch pop. 7,Coho Salmon (Interior Fraser Population),,SNR (2016),Not Reviewed,G5TNRQ,T,,,,,
AFCHA02090,Oncorhynchus mykiss,Rainbow Trout/Steelhead,,S5 (2011),Yellow,G5 (2022),,,,,,
AFCHA0213E,Oncorhynchus mykiss - coastal lineage,Rainbow Trout/Steelhead - Coastal Lineage,,SNR (2010),Not Reviewed,G5T3Q (2009),,,,,,
AFCHA0213D,Oncorhynchus mykiss - interior lineage,Rainbow Trout/Steelhead - Interior Lineage,,SNR (2010),Not Reviewed,G5T3Q (2009),,,,,,
AFCHA0213F,Oncorhynchus mykiss - large lake piscivore ecotype,Rainbow Trout - Large Lake Piscivore Ecotype,,S4 (2012),Yellow,G5TNRQ,,,,,,
AFCHA0213M,Oncorhynchus mykiss pop. 46,Steelhead Trout - Thompson River Population,,S1 (2019),Red,G5TNRQ,E,,,,,
AFCHA0213N,Oncorhynchus mykiss pop. 47,Steelhead Trout - Chilcotin River Population,,S1 (2019),Red,G5TNRQ,E,,,,,
AFCHA02040,Oncorhynchus nerka,Sockeye Salmon,,SNR (2019),Not Reviewed,G5 (2022),,,,,,
AFCHA0204B,Oncorhynchus nerka pop. 10,Sockeye Salmon - Bowron-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204C,Oncorhynchus nerka pop. 11,Sockeye Salmon - Chilliwack-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204D,Oncorhynchus nerka pop. 12,Sockeye Salmon - Francois-Fraser-S Population,,SNR (2019),Not Reviewed,G5TNRQ,SC,,,,,
AFCHA0204E,Oncorhynchus nerka pop. 13,Sockeye Salmon - Nadina-Francois-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204F,Oncorhynchus nerka pop. 14,Sockeye Salmon - Harrison (D/S)-L Population,,SNR (2019),Not Reviewed,G5TNRQ,SC,,,,,
AFCHA0204G,Oncorhynchus nerka pop. 15,Sockeye Salmon - Harrison (U/S)-L Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204H,Oncorhynchus nerka pop. 16,Sockeye Salmon - Kamloops-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,SC,,,,,
AFCHA0204J,Oncorhynchus nerka pop. 17,Sockeye Salmon - Lillooet-Harrison-L Population,,SNR (2019),Not Reviewed,G5TNRQ,SC,,,,,
AFCHA0204K,Oncorhynchus nerka pop. 18,Sockeye Salmon - Nahatlatch-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,SC,,,,,
AFCHA0204L,Oncorhynchus nerka pop. 19,Sockeye Salmon - North Barriere-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,T,,,,,
AFCHA0204M,Oncorhynchus nerka pop. 20,Sockeye Salmon - Pitt-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204N,Oncorhynchus nerka pop. 21,Sockeye Salmon - Quesnel-S Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204P,Oncorhynchus nerka pop. 22,Sockeye Salmon - Seton-L Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204Q,Oncorhynchus nerka pop. 23,Sockeye Salmon - Shuswap Complex-L Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204R,Oncorhynchus nerka pop. 24,Sockeye Salmon - Shuswap-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204S,Oncorhynchus nerka pop. 25,Sockeye Salmon - Takla-Trembleur-EStu Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204T,Oncorhynchus nerka pop. 26,Sockeye Salmon - Takla-Trembleur-Stuart-S Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204U,Oncorhynchus nerka pop. 27,Sockeye Salmon - Taseko-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,E,,,,,
AFCHA0204V,Oncorhynchus nerka pop. 28,Sockeye Salmon - Harrison River (River-Type) Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA0204W,Oncorhynchus nerka pop. 29,Sockeye Salmon - Widgeon (River-Type) Population,,SNR (2019),Not Reviewed,G5TNRQ,T,,,,,
AFCHA02048,Oncorhynchus nerka pop. 7,Sockeye Salmon - Cultus Lake Population,,SNR,Not Reviewed,G5T1Q (2005),E,,,,,
AFCHA02049,Oncorhynchus nerka pop. 8,Sockeye Salmon - Sakinaw Lake Population,,S1 (2020),No Status,G5T1Q (2005),E,,,,,
AFCHA0204A,Oncorhynchus nerka pop. 9,Sockeye Salmon - Anderson-Seton-ES Population,,SNR (2019),Not Reviewed,G5TNRQ,NAR,,,,,
AFCHA02050,Oncorhynchus tshawytscha,Chinook Salmon,BAFA; BG; BWBS; CDF; CWH; ESSF; ICH; IDF; MH; MS; PP; SBPS; SBS; SWB,SNR (2019),Not Reviewed,G5 (2017),E/T/SC/DD/NAR,,,,,
AFCYH02010,Oneirodes bulbosus,Bulbous Dreamer,,SNR,Not Reviewed,GNR,,,,,,
AFCYH02020,Oneirodes thompsoni,Alaska Dreamer,,SNR,Not Reviewed,GNR,,,,,,
AFC4D02010,Ophiodon elongatus,Lingcod,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC7B07010,Opostomias mitsuii,Pitgum Lanternfish,,SNR,Not Reviewed,GNR,,,,,,
AFCHB02040,Osmerus dentex,Rainbow Smelt,,SU (2019),Unknown,GNR,,,,,,
AFC4G22010,Osteodiscus cascadiae,Bigtail Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4D03010,Oxylebius pictus,Painted Greenling,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCMG03010,Pachycara bulbiceps,Abyssal Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG03020,Pachycara gymninium,Nakedneck Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFCMG03030,Pachycara lepinium,Scalyneck Eelpout,,SNR,Not Reviewed,GNR,,,,,,
AFC4F11010,Pallasina barbata,Tubenose Poacher,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15040,Paraliparis cephalus,Swellhead Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15010,Paraliparis deani,Prickly Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15050,Paraliparis latifrons,Bigpored Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15080,Paraliparis melanobranchus,Phantom Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15060,Paraliparis paucidens,Toothless Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4G15070,Paraliparis rosaceus,Pink Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E08010,Paricelinus hopliticus,Thornback Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCTB16100,Parophrys vetulus,English Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCS401030,Peprilus simillimus,Pacific Pompano,,SNR,Not Reviewed,GNR,,,,,,
AFCQC03010,Perca flavescens,Yellow Perch,,SU (2019),Unknown,G5 (2015),,,,,,
AFCLC01010,Percopsis omiscomaycus,Trout-perch,,S4S5 (2019),Yellow,G5 (2015),,,,,,
AFCQK09020,Phanerodon furcatus,White Seaperch,,SNR,Not Reviewed,GNR,,,,,,
AFCQR01020,Pholis clemensi,Longfin Gunnel,,SNR,Not Reviewed,GNR,,,,,,
AFCQR01070,Pholis laeta,Crescent Gunnel,,SNR,Not Reviewed,G5 (2008),,,,,,
AFCQR01010,Pholis ornata,Saddleback Gunnel,,SNR,Not Reviewed,GNR,,,,,,
AFCQR01090,Pholis schultzi,Red Gunnel,,SNR,Not Reviewed,GNR,,,,,,
AFCSC13010,Phytichthys chirus,Ribbon Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFCJB32020,Pimephales promelas,Fathead Minnow,,SNA (2019),Exotic,G5 (2015),,,,,,
AFCTB01010,Platichthys stellatus,Starry Flounder,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCJB57010,Platygobio gracilis,Flathead Chub,,S4 (2019),Yellow,G5 (2015),,,,,,
AFCSC15010,Plectobranchus evides,Bluebarred Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFC4D04010,Pleurogrammus monopterygius,Atka Mackerel,,SNR,Not Reviewed,GNR,,,,,,
AFCTB17010,Pleuronichthys coenosus,C-O Sole,,SNR,Not Reviewed,GNR,,,,,,
AFCTB17020,Pleuronichthys decurrens,Curlfin Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4F13010,Podothecus accipenserinus,Sturgeon Poacher,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCUA02010,Polyacanthonotus challengeri,Longnose Tapirfish,,SNR,Not Reviewed,GNR,,,,,,
AFCQB13020,Pomoxis nigromaculatus,Black Crappie,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCWA02020,Porichthys notatus,Plainfin Midshipman,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCSC16010,Poroclinus rothrocki,Whitebarred Prickleback,,SNR,Not Reviewed,GNR,,,,,,
AFC9C02010,Poromitra crassiceps,Crested Ridgehead,,SNR,Not Reviewed,GNR,,,,,,
AFDDG05010,Prionace glauca,Blue Shark,,SNR,Not Reviewed,G5 (2017),NAR,,,,,
AFCHA03020,Prosopium coulterii,Pygmy Whitefish,,S4 (2019),Yellow,G5 (2008),NAR,,,,,
AFCHA03021,Prosopium coulterii pop. 1,Pygmy Whitefish - Southwestern Yukon Beringian Populations,,S2S3 (2019),Blue,G5TNRQ,,,,,,
AFCHA03023,Prosopium coulterii pop. 3,Pygmy Whitefish - Pacific Populations,,S4 (2019),Yellow,G5TNRQ,NAR,,,,,
AFCHA03030,Prosopium cylindraceum,Round Whitefish,,S4 (2019),Yellow,G5 (2015),,,,,,
AFCHA03060,Prosopium williamsoni,Mountain Whitefish,,S5 (2019),Yellow,G5 (2022),,,,,,
AFCVH06010,Protomyctophum crockeri,California Flashlightfish,,SNR,Not Reviewed,GNR,,,,,,
AFCVH06020,Protomyctophum thompsoni,Bigeye Flashlightfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCTB18010,Psettichthys melanostictus,Sand Sole,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCHF02010,Pseudobathylagus milleri,Stout Blacksmelt,,SNR,Not Reviewed,GNR,,,,,,
AFCRR01020,Pseudopentaceros wheeleri,North Pacific Pelagic Armorhead,,SNR,Not Reviewed,GNR,,,,,,
AFC4E10010,Psychrolutes paradoxus,Tadpole Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E10030,Psychrolutes phrictus,Blob Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E10020,Psychrolutes sigalutes,Soft Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFDFE01060,Pteroplatytrygon violacea,Pelagic Stingray,,SNR,Not Reviewed,GNR,,,,,,
AFCSE01010,Ptilichthys goodei,Quillfish,,SNR,Not Reviewed,GNR,,,,,,
AFCJB35030,Ptychocheilus oregonensis,Northern Pikeminnow,,S5 (2019),Yellow,G5 (2016),,,,,,
AFCPA04010,Pungitius pungitius,Ninespine Stickleback,,SU (2018),Unknown,G5 (2015),,,,,Y,
AFC4E11010,Radulinus asprellus,Slim Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFC4E11020,Radulinus boleoides,Darter Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFDFD01020,Raja binoculata,Big Skate,,SNR,Not Reviewed,G5 (2017),NAR,,,,,
AFDFD01120,Raja rhina,Longnose Skate,,SNR,Not Reviewed,G5 (2017),NAR,,,,,
AFCTB20010,Reinhardtius hippoglossoides,Greeenland Halibut,,SNR,Not Reviewed,G5 (2017),,,,,,
AFCSZ03010,Remora australis,Whalesucker,,SNR,Not Reviewed,GNR,,,,,,
AFCQK10020,Rhacochilus vacca,Pile Perch,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4E12010,Rhamphocottus richardsonii,Grunt Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCJB37020,Rhinichthys cataractae,Longnose Dace,,S5 (2019),Yellow,G5 (2015),,,,,,
AFCJB37110,Rhinichthys cataractae - Chehalis lineage,Nooksack Dace,CWH,S1 (2019),Red,G3 (1996),E,1-E (2003),,,Y,
AFCJB37040,Rhinichthys falcatus,Leopard Dace,,S5? (2019),Yellow,G4 (2016),NAR,,,,,
AFCJB37050,Rhinichthys osculus,Speckled Dace,IDF; PP,S3? (2019),Blue,G5 (1996),E,1-E (2009),,,Y,
AFCJB37120,Rhinichthys umatilla,Umatilla Dace,BG; ICH; IDF,S2 (2019),Red,G4 (1992),T,3 (2005),,,Y,Y
AFCQN15060,Rhinogobiops nicholsii,Blackeye Goby,,SNR,Not Reviewed,GNR,,,,,,
AFC4G23010,Rhinoliparis attenuatus,Slim Snailfish,,SNR,Not Reviewed,GNR,,,,,,
AFCJB39010,Richardsonius balteatus,Redside Shiner,,S5 (2019),Yellow,G5 (2016),,,,,,
AFCXA03020,Rimicola muscarum,Kelp Clingfish,,SNR,Not Reviewed,GNR,,,,,,
AFCRY03010,Ronquilus jordani,Northern Ronquil,,SNR,Not Reviewed,GNR,,,,,,
AFC4E40020,Ruscarius meanyi,Puget Sound Sculpin,,SNR,Not Reviewed,GNR,,,,,,
AFCHK03010,Sagamichthys abei,Shining Tubeshoulder,,SNR,Not Reviewed,GNR,,,,,,
AFCHA04060,Salmo salar,Atlantic Salmon,,SNA (2019),Exotic,G5 (2016),,,,,,
AFCHA04070,Salmo trutta,Brown Trout,,SNA (2019),Exotic,G5 (1996),,,,,,
AFCHA05020,Salvelinus confluentus,Bull Trout,BG; BWBS; CWH; ESSF; ICH; IDF; MS; PP; SBPS; SBS; SWB,S3S4 (2018),Blue,G5 (2017),SC,,Y,,,
AFCHA05122,Salvelinus confluentus pop. 10,Bull Trout - Western Arctic Populations,,S3 (2018),Blue,G5TNRQ,SC,1-SC (2019),,,,
AFCHA05124,Salvelinus confluentus pop. 12,Bull Trout - Upper Yukon Watershed Populations,,SU (2018),No Status,G5TNRQ,DD,,,,,
AFCHA0502N,Salvelinus confluentus pop. 26,Bull Trout - Pacific Populations,,S3S4 (2018),Blue,G5T3Q (2015),NAR,,,,,
AFCHA0502Q,Salvelinus confluentus pop. 28,Bull Trout - South Coast Population,CDF; CWH; MH,S2S3 (2018),Blue,G5T3Q (2015),SC,1-SC (2019),,,,
AFCHA05030,Salvelinus fontinalis,Brook Trout,,SNA (2019),Exotic,G5 (2015),,,,,,
AFCHA05040,Salvelinus malma,Dolly Varden,,S4 (2012),Yellow,G5 (2017),,,,,,
AFCHA05042,Salvelinus malma - northern lineage,Dolly Varden - Northern Lineage,,S4S5 (2012),Yellow,G5T4T5Q (2011),,,,,,
AFCHA05041,Salvelinus malma - southern lineage,Dolly Varden - Southern Lineage,,S4 (2012),Yellow,G5TNRQ,,,,,,
AFCHA05050,Salvelinus namaycush,Lake Trout,,S4 (2019),Yellow,G5 (2015),,,,,,
AFCQC05020,Sander vitreus,Walleye,,S4S5 (2019),Yellow,G5 (2015),,,,,,
AFCS306010,Sarda chiliensis,Pacific Bonito,,SNR,Not Reviewed,GNR,,,,,,
AFCFA10010,Sardinops sagax,Pacific Sardine,,SNR,Not Reviewed,GNR,NAR,3,,,,
AFCS307010,Scomber japonicus,Pacific Chub Mackerel,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC9C03010,Scopelogadus mizolepis,Flabby Ridgehead,,SNR,Not Reviewed,GNR,,,,,,
AFC8H01010,Scopelosaurus harryi,Scaly Waryfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4E13010,Scorpaenichthys marmoratus,Cabezon,,SNR,Not Reviewed,GNR,,,,,,
AFCSG01010,Scytalina cerdale,Graveldiver,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06010,Sebastes aleutianus,Rougheye Rockfish,,SNR,Not Reviewed,GNR,SC,1-SC (2009),,,,
AFC4A06020,Sebastes alutus,Pacific Ocean Perch,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06040,Sebastes auriculatus,Brown Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06050,Sebastes aurora,Aurora Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06060,Sebastes babcocki,Redbanded Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06070,Sebastes borealis,Shortraker Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06080,Sebastes brevispinis,Silvergray Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06100,Sebastes caurinus,Copper Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06110,Sebastes chlorostictus,Greenspotted Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06130,Sebastes ciliatus,Dark Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06150,Sebastes crameri,Darkblotched Rockfish,,SNR,Not Reviewed,GNR,SC,,,,,
AFC4A06720,Sebastes diaconus,Deacon Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06170,Sebastes diploproa,Splitnose Rockfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4A06180,Sebastes elongatus,Greenstriped Rockfish,,SNR,Not Reviewed,G5 (2017),,,,,,
AFC4A06190,Sebastes emphaeus,Puget Sound Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06210,Sebastes entomelas,Widow Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06240,Sebastes flavidus,Yellowtail Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06260,Sebastes goodei,Chilipepper,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06270,Sebastes helvomaculatus,Rosethorn Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06290,Sebastes jordani,Shortbelly Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06330,Sebastes maliger,Quillback Rockfish,,SNR,Not Reviewed,GNR,T,,,,,
AFC4A06350,Sebastes melanops,Black Rockfish,,SNR,Not Reviewed,GNR,,,,,,
AFC4A06370,Sebastes melanostomus,Blackgill Rockfish,,SNR,Not Reviewed,GNR,,,,,,
